filename,title,feature,role,level
./metadata.md,,,,
./help/_marketo_measure-main/TOC.md,,,,
help/_marketo_measure-main/overview.md,Overview of [!DNL Marketo Measure] tutorials,,,
./help/installing/install-production.md,Installation (production instance),Installation,User,Beginner
./help/installing/modify-permission-sets-production.md,Modify Permission Sets (production instance),Installation,User,Beginner
./help/installing/sharing-reports-production.md,Share and hide reports and dashboards (production instance),Reporting,User,Beginner
./help/installing/creating-marketo-measure-account-production.md,Create the [!DNL Marketo Measure] account,Fundamentals,User,Beginner
./help/onboarding/marketing-role/cmo-and-vp-why.md,Why [!DNL Marketo Measure] for CMOs & VPs,Fundamentals,Leader,Beginner
./help/onboarding/marketing-role/cmo-and-vp-using.md,Using [!DNL Marketo Measure] as a CMO or VP,Fundamentals,Leader,Beginner
./help/onboarding/marketing-role/demand-gen-why.md,Why [!DNL Marketo Measure] for Demand Gen/Paid Media,Fundamentals,"Leader, User",Beginner
./help/onboarding/marketing-role/demand-gen-using.md,Using [!DNL Marketo Measure] as a Demand Gen/Paid Media Marketer,Fundamentals,"Leader, User",Beginner
./help/onboarding/marketing-role/content-marketing-why.md,Why [!DNL Marketo Measure] for Content Marketing,Fundamentals,"Leader, User",Beginner
./help/onboarding/marketing-role/content-marketing-using.md,Using [!DNL Marketo Measure] as a Content Marketer,Fundamentals,"Leader, User",Beginner
./help/onboarding/marketing-role/events-marketing-why.md,Why [!DNL Marketo Measure] for Events Marketing,Fundamentals,"Leader, User",Beginner
./help/onboarding/marketing-role/events-marketing-using.md,Using [!DNL Marketo Measure] as an Events Marketer,Fundamentals,"Leader, User",Beginner
./help/onboarding/marketing-role/email-marketing-why.md,Why [!DNL Marketo Measure] for Email Marketing,Fundamentals,"Leader, User",Beginner
./help/onboarding/marketing-role/email-marketing-using.md,Using [!DNL Marketo Measure] as an Email Marketer,Fundamentals,"Leader, User",Beginner
./help/onboarding/marketo-measure-101/what-is-attribution.md,What is Attribution,Attribution,User,Beginner
./help/onboarding/marketo-measure-101/what-is-marketo-measure.md,What is [!DNL Marketo Measure],Fundamentals,User,Beginner
./help/onboarding/marketo-measure-101/marketo-measure-data.md,"""[!DNL Marketo Measure] Data""",Reporting,User,Beginner
./help/onboarding/marketo-measure-101/touchpoints.md,Touchpoints,Touchpoints,User,Beginner
./help/onboarding/marketo-measure-101/attribution-models.md,Attribution Models,Attribution,User,Beginner
./help/onboarding/marketo-measure-102/roi-dashboards.md,The [!DNL Marketo Measure] ROI Dashboards,Reporting,User,Beginner
./help/onboarding/marketo-measure-102/stock-salesforce-reports.md,Stock Salesforce Reports,"Salesforce, Reporting",User,Beginner
./help/onboarding/marketo-measure-102/addtional-salesforce-reports.md,Additional Salesforce Reports,"Salesforce, Reporting",User,Beginner
./help/onboarding/marketo-measure-102/data-warehouse.md,Data Warehouse,Data Warehouse,User,Beginner
./help/onboarding/marketo-measure-salesforce/leads-by-id-report.md,Leads by ID Report,Salesforce,User,Beginner
./help/onboarding/marketo-measure-salesforce/creating-channels-subchannels.md,Creating Channels and Subchannels,"Salesforce, Channels",User,Beginner
./help/onboarding/marketo-measure-salesforce/channel-rules-csv.md,Setting up Channel Rules with a CSV File,"Salesforce, Channels",User,Beginner
./help/onboarding/marketo-measure-salesforce/campaign-object-fields.md,Campaign Object Fields,Salesforce,User,Beginner
./help/onboarding/marketo-measure-salesforce/mapping-offline-channels.md,Mapping Offline Channels,Channels,User,Beginner
./help/onboarding/marketo-measure-salesforce/syncing-offline-campaigns.md,Syncing Offline Campaigns,Channels,User,Beginner
./help/onboarding/marketo-measure-salesforce/touchpoint-suppression.md,Touchpoint Suppression,Touchpoints,User,Beginner
./help/onboarding/fundamentals/activities-attribution.md,Activities Attribution,Attribution,,
./help/marketo-measure-discover/introduction-to-marketo-measure-discover.md,Introduction to [!DNL Marketo Measure] Discover,Discover,,
./help/definitions/touchpoints/what-is-a-touchpoint.md,What Is a Touchpoint?,Touchpoints,,
./help/definitions/touchpoints/milestone-touchpoints.md,Milestone touchpoints,Touchpoints,,
./help/definitions/touchpoints/touchpoint-components.md,Touchpoint components,Touchpoints,,
./help/definitions/touchpoints/online-offline-touchpoints.md,Online and Offline Touchpoints,Touchpoints,,
./help/definitions/attribution/what-is-attribution.md,What is attribution,Attribution,,
./help/definitions/attribution/attribution-models.md,Attribution models,Attribution,,
./help/definitions/attribution/first-touch-model.md,First Touch Model,Attribution,User,Beginner
./help/definitions/attribution/lead-creation-model.md,Lead Creation Model,Attribution,User,Beginner
./help/definitions/attribution/u-shaped-model.md,U-shaped Model,Attribution,User,Beginner
./help/definitions/attribution/w-shaped-model.md,W-shaped Model,Attribution,User,Beginner
./help/definitions/attribution/full-path-model.md,Full Path Model,Attribution,User,Beginner
./help/definitions/crm-objects/taxonomy-overview.md,Overview of [!DNL Marketo Measure] taxonomy,CRM Objects,User,Beginner
./help/definitions/crm-objects/crm-objects.md,CRM objects,CRM Objects,User,Beginner
./help/definitions/crm-objects/lead-object.md,Lead object,CRM Objects,User,Beginner
./help/definitions/crm-objects/contact-object.md,Contact object,CRM Objects,User,Beginner
./help/definitions/crm-objects/opportunity-object.md,Opportunity object,CRM Objects,User,Beginner
./help/definitions/crm-objects/bt-object.md,Marketo Measure Touchpoint object,CRM Objects,User,Beginner
./help/definitions/crm-objects/bat-object.md,"""[!DNL Marketo Measure] Attribution Touchpoint Object""",CRM Objects,User,Beginner
./help/definitions/crm-objects/marketo-measure-person.md,"""[!DNL Marketo Measure] Person""",CRM Objects,User,Beginner
./help/definitions/utm-parameters/how-marketo-measure-tagging-works.md,How tagging works,UTM Parameters,,
./help/definitions/utm-parameters/connecting-integrated-platforms-with-marketo-measure.md,Connecting Integrated Platforms with [!DNL Marketo Measure],UTM Parameters,,
./help/definitions/utm-parameters/anatomy-of-a-utm-parameter.md,Anatomy of a UTM parameter,UTM Parameters,,
./help/definitions/utm-parameters/utm-best-practices.md,UTM best practices,UTM Parameters,,
./help/definitions/utm-parameters/utm-parameter-auto-tagging-tools.md,UTM parameter auto-tagging tools,UTM Parameters,,
./help/definitions/utm-parameters/utm-tagging.md,UTM tagging,UTM Parameters,,
./help/definitions/account-based-marketing/abm-overview.md,Account based marketing (ABM) overview,Account-based Marketing,,
./help/definitions/account-based-marketing/accounts-by-engagement-score.md,Accounts By Engagement Score,Account-based Marketing,,
./help/definitions/account-based-marketing/accounts-with-leads-and-contacts.md,Accounts with Leads and Contacts report,Account-based Marketing,,
./help/definitions/account-based-marketing/touchpoints-per-account-report.md,Touchpoints Per Account report,Account-based Marketing,,
./help/definitions/boomerang-stage/introduction-to-boomerang-stages.md,Introduction to Boomerang Stages,Boomerang,,
./help/definitions/boomerang-stage/setting-up-boomerang-stages.md,Setting up Boomerang Stages,Boomerang,,
